X,Y,full_id,osm_id,osm_type,name,name:hi,name:pa,place,population,postal_code,wikidata,AND_a_nosr_p,alt_name,alt_name:ar,is_in:continent,is_in:country,is_in:country_code,is_in:state,name:ar,name:en,name:he,name:ja,name:kn,name:ml,name:ru,name:ta,name:uk,name:ur,name:zh,old_name,place:cca,wikipedia,ford,railway,internet_access,network,operator,public_transport,ref,train,platforms,power,gns:dsg,gns:uni,barrier,junction,amenity,aeroway,man_made,addr:postcode,building,int_name,tourism,website,disused,highway,abandoned:aeroway,brand:wikidata,short_name,addr:housenumber,fee,shop,designation,brand,cuisine,takeaway,addr:housename,addr:street,atm,historic,craft,delivery,office,addr:district,addr:full,addr:state,addr:city,opening_hours,phone,disused:railway,admin_level,access,religion,design,noexit,email,description,leisure,historic:name,historic:ref,tower:type,service_times,wheelchair,drive_through,cash_in,currency:INR,artwork_type,material,contact:helpline,contact:mobile,contact:phone,operator:type,addr:subdistrict,healthcare,health_facility:type,guest_house,internet_access:fee,addr:block,crossing,tactile_paving,natural,bicycle_parking,diet:vegetarian,bridge:support,content,landuse,residential,pipeline,brand:wikipedia,layer,parking,door,indoor,emergency,healthcare:speciality,golf,navigationaid,denomination,addr:place,sport,icon_url
81.8266915,25.3492421,n313979962,"313979962",node,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,tower,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,./0.png
81.8462351,25.3395227,n313980101,"313980101",node,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,tower,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,./0.png
81.844879,25.3387237,n313980138,"313980138",node,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,tower,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,./0.png
81.8469475,25.3374359,n313980162,"313980162",node,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,tower,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,./0.png
81.8554276,25.3397786,n313980258,"313980258",node,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,tower,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,./0.png
81.8515137,25.3398329,n313980295,"313980295",node,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,tower,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,./0.png
81.8592986,25.3352018,n313980436,"313980436",node,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,tower,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,./0.png
81.8617619,25.3323159,n313980445,"313980445",node,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,tower,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,./0.png
81.8656071,25.3320289,n313980467,"313980467",node,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,tower,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,./0.png
81.8683108,25.3297016,n313980484,"313980484",node,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,tower,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,./0.png
